               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11999,            0.061031,            0.027713,           0.0044508,            0.079167,           0.0027436,          0.00056676,             0.11929,            0.042934,            0.025239,              0.0937,              0.0007,              0.0007
                   1,             0.10969,            0.071659,            0.025802,           0.0047213,             0.13958,           0.0038031,           0.0010769,             0.10024,            0.050051,            0.022785,            0.086485,           0.0014851,           0.0014851
                   2,            0.096718,            0.080713,            0.024023,           0.0093687,             0.22292,            0.027853,           0.0062019,            0.089439,            0.054154,            0.020791,            0.079254,           0.0022545,           0.0022545
                   3,            0.090742,            0.089022,            0.021067,             0.76913,                 0.1,            0.071365,            0.026037,            0.089765,            0.052182,            0.018755,            0.072008,           0.0030079,           0.0030079
                   4,            0.080949,            0.082068,            0.016864,             0.13196,                 0.1,            0.052784,            0.025082,            0.084462,            0.053876,            0.015711,            0.064746,           0.0037456,           0.0037456
                   5,            0.077515,            0.087357,            0.014095,             0.32115,             0.20999,              0.1678,            0.077982,            0.080117,            0.058914,            0.013305,            0.057467,           0.0044673,           0.0044673
                   6,             0.07164,            0.072503,            0.011643,             0.17915,             0.25625,             0.18367,             0.07294,            0.078804,            0.059924,            0.012846,            0.050173,           0.0051733,           0.0051733
                   7,            0.073987,            0.086005,           0.0094514,             0.25267,             0.44167,             0.32576,             0.17379,            0.079872,            0.056488,            0.011962,            0.042863,           0.0058634,           0.0058634
                   8,            0.067093,            0.071524,             0.01044,             0.36202,             0.42917,             0.36876,             0.20833,            0.073017,            0.054886,           0.0073136,            0.035538,           0.0065377,           0.0065377
                   9,             0.06789,            0.069324,           0.0074895,             0.51632,             0.55833,             0.49523,             0.30572,            0.070689,            0.056681,           0.0055587,            0.028196,           0.0071961,           0.0071961
                  10,            0.067995,            0.067235,           0.0073778,             0.40294,             0.57083,             0.39565,              0.2285,            0.074985,            0.056782,           0.0051329,            0.020839,           0.0078387,           0.0078387
                  11,            0.070758,            0.075131,           0.0063088,             0.35951,             0.52083,             0.37008,             0.18664,            0.074045,            0.051981,           0.0047636,            0.013465,           0.0084655,           0.0084655
                  12,            0.072389,            0.069747,           0.0059292,             0.37808,             0.55417,             0.41083,             0.22239,            0.075206,            0.046549,           0.0049118,            0.008812,            0.008812,            0.008812
                  13,            0.067256,            0.062004,           0.0054068,             0.44401,             0.49583,             0.47454,             0.26847,               0.072,            0.044039,           0.0041187,            0.008812,            0.008812,            0.008812
                  14,            0.065118,            0.072058,           0.0055599,             0.52781,             0.48132,             0.51103,             0.27857,            0.071382,            0.049888,           0.0037596,            0.008713,            0.008713,            0.008713
                  15,            0.060711,            0.070024,           0.0047241,             0.50771,             0.62725,             0.56079,             0.29443,            0.065688,            0.047455,           0.0037145,            0.008614,            0.008614,            0.008614
                  16,            0.055897,            0.071851,           0.0056252,             0.35509,             0.57307,             0.44643,             0.22834,             0.06334,            0.047683,           0.0030373,            0.008515,            0.008515,            0.008515
                  17,            0.056915,            0.055117,            0.005033,              0.4344,             0.60752,             0.46234,             0.21554,            0.062163,            0.047658,           0.0036239,            0.008416,            0.008416,            0.008416
                  18,            0.053121,            0.065379,           0.0048675,             0.49596,             0.53542,             0.49808,              0.2252,            0.064834,            0.046206,           0.0031051,            0.008317,            0.008317,            0.008317
                  19,            0.052639,            0.069373,           0.0043243,              0.4867,             0.61511,             0.49187,              0.2707,             0.06247,            0.049127,           0.0030196,            0.008218,            0.008218,            0.008218
                  20,            0.053356,            0.066428,            0.005036,             0.37653,             0.55833,             0.45516,             0.25625,            0.053694,            0.049334,            0.002516,            0.008119,            0.008119,            0.008119
                  21,             0.05357,            0.067049,           0.0041241,             0.54134,             0.46042,             0.52159,              0.2857,            0.054161,            0.047785,           0.0022114,             0.00802,             0.00802,             0.00802
                  22,            0.048431,            0.058996,           0.0041854,             0.55624,             0.51042,              0.5091,             0.29447,            0.054481,            0.047897,           0.0022146,            0.007921,            0.007921,            0.007921
                  23,            0.047976,            0.055816,           0.0038721,             0.57042,             0.54939,             0.59777,             0.32228,            0.056978,            0.049103,           0.0022821,            0.007822,            0.007822,            0.007822
                  24,            0.046513,            0.061594,           0.0038463,             0.57895,             0.53191,             0.53576,             0.28687,            0.051058,             0.04815,           0.0022907,            0.007723,            0.007723,            0.007723
                  25,             0.04521,            0.050524,           0.0035654,             0.56451,              0.5875,             0.60948,             0.33972,            0.053384,            0.048177,           0.0021959,            0.007624,            0.007624,            0.007624
                  26,            0.043793,            0.057845,           0.0037515,              0.5706,             0.65054,             0.55567,             0.33561,            0.058452,             0.04767,           0.0020619,            0.007525,            0.007525,            0.007525
                  27,            0.044103,            0.056242,           0.0036025,             0.67667,             0.50128,             0.56335,             0.31023,            0.058739,            0.051154,           0.0024642,            0.007426,            0.007426,            0.007426
                  28,            0.044513,            0.053741,           0.0032115,             0.71619,             0.59375,             0.65088,             0.33159,            0.058415,            0.050241,           0.0021656,            0.007327,            0.007327,            0.007327
                  29,            0.043838,            0.065678,           0.0036205,             0.62889,             0.64824,             0.56639,             0.29929,            0.059486,            0.052431,           0.0025344,            0.007228,            0.007228,            0.007228
                  30,            0.043181,            0.059126,           0.0031899,              0.7476,             0.64633,             0.69385,             0.36272,            0.053262,            0.052115,           0.0025496,            0.007129,            0.007129,            0.007129
                  31,            0.044362,            0.061339,           0.0034898,             0.67146,              0.7625,             0.72841,             0.35706,            0.052589,            0.050823,           0.0023954,             0.00703,             0.00703,             0.00703
                  32,            0.042877,            0.071995,           0.0034971,             0.71429,             0.75417,              0.7563,             0.40404,            0.048649,            0.050296,           0.0024034,            0.006931,            0.006931,            0.006931
