               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026154,            0.043166,           0.0013189,             0.84621,             0.70762,             0.76711,             0.51302,            0.045516,            0.059447,           0.0023322,              0.0937,              0.0007,              0.0007
                   1,             0.02484,            0.044621,           0.0012896,             0.86757,              0.7125,              0.7671,              0.5166,             0.04611,            0.059514,           0.0023486,            0.086497,            0.001497,            0.001497
                   2,            0.025875,            0.043273,            0.001508,             0.83246,             0.70281,             0.76092,             0.49465,            0.047541,            0.061706,           0.0024452,            0.079291,           0.0022909,           0.0022909
                   3,            0.026943,            0.045316,            0.001604,             0.84586,             0.70317,             0.75888,             0.48335,             0.04646,            0.061523,           0.0023188,            0.072082,           0.0030816,           0.0030816
                   4,            0.025747,            0.040968,           0.0015489,             0.78181,             0.69942,             0.74129,             0.46077,            0.048394,            0.062464,            0.002353,            0.064869,           0.0038691,           0.0038691
                   5,             0.02864,            0.044049,           0.0013056,             0.87908,             0.70447,             0.75657,             0.48415,            0.045906,            0.059795,           0.0019967,            0.057653,           0.0046535,           0.0046535
                   6,            0.031416,            0.038156,           0.0014121,             0.75498,             0.70922,             0.73117,             0.45232,            0.048084,            0.064432,           0.0020243,            0.050435,           0.0054347,           0.0054347
                   7,            0.033792,            0.048607,           0.0015728,             0.79603,             0.73125,              0.7637,             0.43251,            0.049952,            0.059191,           0.0018895,            0.043213,           0.0062127,           0.0062127
                   8,            0.032464,            0.038042,           0.0016845,             0.80404,             0.71875,             0.75113,             0.43732,            0.048666,            0.058007,           0.0021902,            0.035988,           0.0069875,           0.0069875
                   9,            0.034477,            0.041103,           0.0016635,              0.7946,             0.74575,             0.75956,             0.44978,            0.048885,            0.055405,           0.0021818,            0.028759,           0.0077592,           0.0077592
                  10,            0.037208,             0.04105,           0.0019522,             0.75769,             0.69099,             0.71062,             0.44923,            0.051731,            0.060107,           0.0025879,            0.021528,           0.0085277,           0.0085277
                  11,              0.0333,            0.050982,           0.0018713,             0.78902,             0.61643,             0.72537,             0.37704,            0.055129,            0.055328,           0.0020991,            0.014293,           0.0092931,           0.0092931
                  12,             0.04311,            0.047764,           0.0021264,             0.82039,             0.72484,             0.74755,             0.43646,            0.049864,            0.058407,           0.0022424,           0.0097624,           0.0097624,           0.0097624
                  13,            0.041854,            0.040396,           0.0019267,             0.76237,             0.61295,             0.69056,             0.40306,            0.051144,            0.071449,           0.0027037,           0.0097624,           0.0097624,           0.0097624
                  14,            0.035211,            0.049234,           0.0020476,             0.73395,             0.58125,             0.63123,             0.34772,            0.053364,            0.070752,           0.0030354,           0.0097426,           0.0097426,           0.0097426
                  15,            0.037614,             0.04708,            0.002049,             0.81293,              0.5932,             0.67266,             0.37464,            0.051462,            0.066241,           0.0027325,           0.0097228,           0.0097228,           0.0097228
                  16,            0.036376,            0.047806,           0.0024728,             0.74714,             0.64955,             0.73457,             0.43532,             0.04829,            0.057529,           0.0023881,            0.009703,            0.009703,            0.009703
                  17,            0.036317,            0.037642,           0.0022648,             0.77594,             0.68843,             0.74145,             0.39369,            0.048757,            0.060374,           0.0023217,           0.0096832,           0.0096832,           0.0096832
                  18,            0.035659,            0.042688,           0.0024688,             0.80204,             0.74375,             0.78308,             0.43049,            0.050913,            0.053169,           0.0021591,           0.0096634,           0.0096634,           0.0096634
                  19,            0.036245,            0.047112,           0.0020475,             0.84183,              0.7875,             0.80951,             0.43066,            0.048062,            0.052322,           0.0021177,           0.0096436,           0.0096436,           0.0096436
                  20,            0.038844,            0.045812,           0.0024769,             0.83713,                0.75,             0.77464,             0.39838,             0.04891,            0.053314,           0.0022749,           0.0096238,           0.0096238,           0.0096238
                  21,            0.038659,            0.046905,           0.0022268,              0.7994,             0.72738,             0.73745,             0.39314,            0.054665,            0.053133,           0.0024111,            0.009604,            0.009604,            0.009604
                  22,            0.037576,            0.040624,           0.0022496,             0.83395,              0.7125,             0.75162,             0.42832,            0.051067,            0.054793,           0.0026237,           0.0095842,           0.0095842,           0.0095842
                  23,             0.03537,            0.039697,           0.0021336,             0.84617,             0.67342,             0.73062,             0.45954,              0.0517,            0.056596,           0.0024389,           0.0095644,           0.0095644,           0.0095644
                  24,            0.033512,            0.042904,           0.0019048,             0.75586,             0.66456,             0.70025,              0.4211,            0.051153,            0.058589,           0.0023784,           0.0095446,           0.0095446,           0.0095446
